idx,value
0,6502
1,8747
2,7936
3,7645
4,7632
5,8734
6,8038
7,6697
8,8064
9,8616
10,7274
11,7920
12,8649
13,7058
14,7790
15,8692
16,8687
17,7842
18,9231
19,8310
20,7628
21,8576
22,8269
23,7568
24,7841
25,8902
26,8540
27,7856
28,9152
29,7477
30,8372
31,8824
32,7734
33,8312
34,8481
35,8235
36,8013
37,8922
38,8589
39,6832
40,7835
41,9416
42,9227
43,8166
44,8341
45,8047
46,8148
47,7315
48,8376
49,8318
50,7208
51,7538
52,7498
53,8873
54,7385
55,7870
56,9006
57,7842
58,7482
59,8328
60,7365
61,7482
62,9500
63,9004
64,7653
65,7009
66,7319
67,8461
68,8810
69,8431
70,7724
71,7181
72,7067
73,7703
74,6484
75,8706
76,7873
77,8094
78,7546
79,8986
80,8436
81,8992
82,8892
83,7332
84,7837
85,7410
86,8285
87,8806
88,7900
89,6674
90,9967
91,8094
92,7137
93,8514
94,8041
95,8317
96,8570
97,8354
98,8108
99,8246
100,7731
101,8559
102,6942
103,7169
104,7901
105,8185
106,9607
107,8755
108,7925
109,8051
110,8935
111,9313
112,8651
113,7341
114,7206
115,8388
116,7130
117,9260
118,8959
119,7622
120,5825
121,7241
122,9186
123,9581
124,7822
125,8383
126,8354
127,6544
128,8091
129,8282
130,8272
131,8371
132,9316
133,7944
134,7805
135,7354
136,7782
137,8573
138,7796
139,8007
140,9341
141,8843
142,6878
143,8425
144,7318
145,7702
146,9017
147,9242
148,7160
149,7193
150,9218
151,7488
152,7154
153,8137
154,6755
155,7841
156,7686
157,9748
158,7966
159,9424
160,8530
161,7297
162,8053
163,9401
164,6938
165,6368
166,7618
167,8482
168,7857
169,6500
170,7425
171,7487
172,6878
173,7324
174,8510
175,8360
176,7302
177,7845
178,8273
179,7420
180,8577
181,7701
182,6878
183,8933
184,7365
185,7814
186,8177
187,8439
188,8408
189,7865
190,7715
191,8307
192,8310
193,7339
194,6705
195,9135
196,9199
197,8472
198,7750
199,8315
200,7978
201,9092
202,8130
203,7072
204,8182
205,7686
206,7891
207,7029
208,8101
209,7845
210,8071
211,8781
212,7924
213,8836
214,8187
215,7531
216,7745
217,7509
218,7471
219,8273
220,8113
221,8963
222,9050
223,7674
224,7499
225,9195
226,8551
227,9046
228,7635
229,9041
230,8205
231,8538
232,8199
233,7686
234,7532
235,7547
236,6711
237,8273
238,6805
239,7915
240,8053
241,8215
242,8620
243,8601
244,7601
245,7612
246,7855
247,8564
248,8007
249,7310
250,7703
251,8363
252,7680
253,8691
254,7771
255,7354
256,7577
257,7401
258,9096
259,8483
260,7430
261,8244
262,7620
263,7520
264,8045
265,7998
266,8006
267,6856
268,8285
269,8853
270,8970
271,9036
272,9473
273,8271
274,7558
275,8179
276,8067
277,7741
278,7309
279,7975
280,7571
281,7614
282,8669
283,8569
284,8035
285,8070
286,6779
287,7839
288,8926
289,8395
290,7809
291,9092
292,8161
293,8037
294,7969
295,7815
296,8514
297,8586
298,8268
299,7507
300,7304
301,6679
302,8714
303,7742
304,9466
305,8037
306,7465
307,7843
308,8552
309,7743
310,8313
311,8446
312,8588
313,8240
314,8626
315,7777
316,7035
317,7238
318,8409
319,9410
320,8733
321,7619
322,8685
323,9212
324,7197
325,7896
326,9058
327,8682
328,8168
329,7933
330,8195
331,7559
332,9632
333,9644
334,8007
335,7556
336,6803
337,8081
338,7509
339,8495
340,7451
341,8043
342,9514
343,8644
344,7782
345,8306
346,8620
347,8111
348,8761
349,9092
350,7693
351,7912
352,7887
353,7326
354,8167
355,8575
356,6980
357,6995
358,9140
359,7392
360,8061
361,8445
362,6953
363,8142
364,7605
365,8855
366,7868
367,8510
368,7194
369,7919
370,7987
371,7710
372,8477
373,8112
374,8175
375,8084
376,9381
377,7412
378,8219
379,8439
380,8614
381,8133
382,7502
383,7313
384,7946
385,8103
386,8731
387,7148
388,6875
389,8705
390,8744
391,7862
392,8181
393,8289
394,8018
395,8538
396,8045
397,7997
398,8640
399,9928
400,9218
401,8814
402,7891
403,8924
404,7677
405,8161
406,8173
407,8543
408,7943
409,7816
410,8524
411,7193
412,6136
413,7723
414,7577
415,7921
416,7536
417,9092
418,8490
419,8492
420,8050
421,8261
422,7746
423,8410
424,8819
425,7933
426,7671
427,8113
428,7086
429,7336
430,7980
431,8913
432,7373
433,8427
434,7434
435,7410
436,7900
437,8038
438,8845
439,9316
440,7672
441,6817
442,7497
443,8661
444,9074
445,7385
446,9053
447,8369
448,7177
449,7577
450,8148
451,8400
452,8280
453,8685
454,8444
455,8134
456,6855
457,6961
458,9034
459,6767
460,8031
461,7846
462,7192
463,7867
464,8260
465,7551
466,8616
467,9705
468,8225
469,7762
470,8125
471,9529
472,7664
473,7277
