idx,value
0,1128
1,1847
2,2035
3,2063
4,2317
5,2525
6,2633
7,2948
8,2920
9,2940
10,3018
11,3434
12,3588
13,3572
14,3600
15,3700
16,3692
17,3810
18,3830
19,3830
20,3800
21,3938
22,3872
23,4050
24,4056
25,4430
26,4716
27,4870
28,4932
29,4922
30,4972
31,5152
32,5295
33,5281
34,5693
35,5659
36,5647
37,5990
38,6380
39,6424
40,6714
41,6879
42,6839
43,6871
44,7077
45,7383
46,7457
47,7457
48,7429
49,7114
50,7070
51,7302
52,7147
53,7167
54,7137
55,7137
56,7083
57,7085
58,7019
59,6939
60,6939
61,7075
62,6975
63,6799
64,6797
65,6795
66,6673
67,6581
68,6565
69,6595
70,6561
71,6696
72,6762
73,6308
74,6452
75,6717
76,6459
77,6549
78,6429
79,6477
80,6635
81,6647
82,6640
83,6640
84,6654
85,6678
86,6894
87,6912
88,6994
89,6994
90,6992
91,6966
92,6744
93,6678
94,6648
95,6748
96,6530
97,6515
98,6437
99,6361
100,6361
101,6367
102,6849
103,6849
104,6949
105,6963
106,7077
107,7097
108,7017
109,6585
110,6585
111,6723
112,6545
113,6647
114,6647
115,6647
116,6735
117,6957
118,6963
119,6943
120,6965
121,7033
122,6805
123,6839
124,6809
125,6687
126,6635
127,6923
128,6923
129,6689
130,6637
131,6669
132,6683
133,6711
134,6637
135,6561
136,6553
137,6401
138,6391
139,6451
140,6667
141,6667
142,6315
143,6407
144,6391
145,6391
146,6628
147,6612
148,6576
149,6512
150,6548
151,6831
152,6446
153,6510
154,6416
155,6416
156,6582
157,6614
158,6616
159,6738
160,6692
161,6762
162,6822
163,6896
164,6812
165,6802
166,7421
167,7421
168,7211
169,6901
170,6935
171,6891
172,6921
173,6931
174,6937
175,6966
176,6968
177,6972
178,7150
179,7142
180,7142
181,7154
182,7154
183,7236
184,7226
185,7198
186,7195
187,7191
188,7473
189,7473
190,7365
191,7239
192,7239
193,7113
194,7281
195,7207
196,7215
197,7185
198,7034
199,7046
200,7134
201,7134
202,7079
203,7083
204,7043
205,7173
206,7191
