idx,value
0,6748
1,7387
2,8642
3,8684
4,9266
5,9089
6,7318
7,8104
8,8216
9,8304
10,7653
11,7684
12,7930
13,8421
14,7234
15,6881
16,7682
17,6987
18,7514
19,7418
20,7761
21,7503
22,8560
23,8655
24,7336
25,7364
26,8642
27,8611
28,8520
29,7524
30,6689
31,8455
32,9136
33,9000
34,7663
35,8825
36,8661
37,7691
38,7813
39,9152
40,8056
41,7696
42,8546
43,8411
44,7801
45,7735
46,8605
47,8111
48,7852
49,8490
50,8743
51,8037
52,9475
53,8841
54,8494
55,8726
56,8309
57,8002
58,7895
59,7855
60,7518
61,7808
62,8836
63,8976
64,9023
65,7504
66,6369
67,6748
68,7901
69,7755
70,9287
71,9090
72,8301
73,8487
74,7564
75,9129
76,8409
77,8058
78,7583
79,8078
80,8473
81,7385
82,7500
83,8081
84,7103
85,8268
86,8447
87,7966
88,7486
89,8176
90,7953
91,7339
92,8133
93,8853
94,7527
95,7812
96,8037
97,8857
98,7861
99,7578
100,8423
101,7909
102,7357
103,7921
104,7271
105,6841
106,7887
107,7626
108,8301
109,9054
110,7219
111,7751
112,6969
113,7687
114,7369
115,8838
116,9672
117,8888
118,8597
119,9031
120,8337
121,8191
122,8550
123,8152
124,8436
125,7504
126,7748
127,8081
128,7938
129,6976
130,7039
131,7191
132,6997
133,8284
134,8565
135,7906
136,7909
137,9077
138,8930
139,7958
140,7452
141,7885
142,8220
143,7975
144,6855
145,8615
146,8880
147,8409
148,7986
149,7610
150,7019
151,7612
152,7602
153,8974
154,8435
155,8108
156,8038
157,7900
158,7747
159,8157
160,8094
161,8899
162,8040
163,10328
164,8191
165,8184
166,7888
167,8310
168,8400
169,7794
170,7739
171,8496
172,8375
173,8495
174,7701
175,8601
176,8622
177,7027
178,6287
179,6928
180,8496
181,8462
182,8317
183,8035
184,8238
185,8349
186,6744
187,9151
188,8344
189,8053
190,7538
191,7368
192,8421
193,6696
194,7783
195,8080
196,8876
197,9067
198,8621
199,9021
200,8513
201,7529
202,8458
203,8219
204,7175
205,8760
206,7868
207,9003
208,9067
209,8265
210,7503
211,8839
212,7935
213,8242
214,9013
215,7591
216,8815
217,7773
218,9560
219,8282
220,8247
221,7854
222,7753
223,8876
224,9096
225,8239
226,7563
227,8695
228,7947
229,7336
230,6707
231,7470
232,7180
233,8281
234,7161
235,8432
236,9706
237,7517
238,7886
239,9281
240,8599
241,9126
242,7976
243,7812
244,7274
245,7834
246,7392
247,7699
248,7977
249,8534
250,8014
251,7316
252,7548
253,9008
254,6920
255,8627
256,7764
257,8091
258,8810
259,8776
260,6801
261,7626
262,8101
263,8126
264,8946
265,7616
266,7572
267,7383
268,9491
269,7788
270,7089
271,7402
272,7778
273,8559
274,7538
275,6704
276,8352
277,9300
278,7724
279,8170
280,8167
281,7936
282,7831
283,9325
284,8357
285,9550
286,7166
287,9157
288,7624
289,8280
290,7774
291,7144
292,8608
293,7645
294,6773
295,9005
296,7913
297,6951
298,6309
299,7385
300,7645
301,7882
302,8454
303,8547
304,7984
305,7130
306,7679
307,7561
308,8933
309,7242
310,7824
311,8400
312,8409
313,8095
314,7558
315,8395
316,7400
317,7545
318,8490
319,7105
320,6796
321,8592
322,7003
323,7200
324,6890
325,7491
326,9597
327,8603
328,7241
329,7831
330,7453
331,8196
332,9307
333,7998
334,7992
335,8370
336,7931
337,7717
338,8973
339,6910
340,8471
341,8365
342,8684
343,8566
344,6861
345,7914
346,8354
347,8688
348,9069
349,8074
350,8014
351,7936
352,6641
353,7951
354,7512
355,6979
356,7526
357,8534
358,8410
359,7831
360,8076
361,7692
362,7789
363,8217
364,8325
365,7187
366,7509
367,7774
368,6585
369,7891
370,7110
371,7653
372,8356
373,7814
374,8404
375,8849
376,7817
377,7598
378,9247
379,8680
380,8315
381,8429
382,9716
383,7305
384,7885
385,7896
386,7869
387,8343
388,7721
389,8143
390,7871
391,7994
392,7061
393,8610
394,8235
395,7450
396,8101
397,9077
398,8340
399,7646
400,7598
401,8277
402,8580
403,7964
404,7018
405,7860
406,8339
407,8791
408,7136
409,7339
410,8800
411,8120
412,7063
413,7751
414,8666
415,7509
416,6333
417,8899
418,8338
419,9021
420,7744
421,8180
422,7583
423,8472
424,8536
425,7911
426,8079
427,8491
428,8792
429,9351
430,7637
431,6311
432,8418
433,8825
434,9298
435,8438
436,7188
437,7544
438,7128
439,8232
440,6660
441,9161
442,6824
443,8234
444,7927
445,8439
446,8230
447,7718
448,6846
449,6496
450,8820
451,8187
452,8783
453,7691
454,8185
455,8917
456,7955
457,9547
458,8049
459,6729
460,8060
461,7968
462,7894
463,8774
464,7472
465,8104
466,7631
467,7642
468,7682
469,7668
470,8544
471,8260
472,7872
473,7325
474,7703
475,8182
476,8011
477,7230
478,7603
479,7144
