idx,value
0,7210
1,6444
2,5888
3,5428
4,5034
5,4730
6,4432
7,4176
8,3892
9,3616
10,3400
11,3218
12,3070
13,2940
14,2814
15,2676
16,2560
17,2472
18,2386
19,2284
20,2174
21,2092
22,2020
23,1957
24,1899
25,1831
26,1775
27,1727
28,1679
29,1627
30,1579
31,1533
32,1497
33,1469
34,1443
35,1419
36,1395
37,1365
38,1343
39,1323
40,1307
41,1291
42,1275
43,1261
44,1247
45,1235
46,1225
47,1215
48,1206
49,1197
50,1189
51,1183
52,1173
53,1165
54,1151
55,1143
56,1137
57,1131
58,1127
59,1123
60,1119
61,1115
62,1109
63,1106
64,1102
65,1098
66,1092
67,1080
68,1074
69,1068
70,1062
71,1054
72,1048
73,1044
74,1040
75,1036
76,1032
77,1028
78,1024
79,1022
80,1020
81,1018
82,1016
83,1014
84,1012
85,1010
86,1008
87,1002
88,998
89,996
90,994
91,992
92,990
93,986
94,984
95,982
96,974
97,972
98,968
99,966
100,964
101,958
102,956
103,954
104,952
105,950
106,940
107,940
108,936
109,934
110,932
111,928
112,928
113,928
114,928
115,928
116,928
117,928
118,928
119,928
120,928
121,928
122,928
